Bat ID,Corr coef,tau [ms],with pulse or echo,first or last
D,0.633434585,-100,pulse direction,first
D,0.614575651,-90,pulse direction,first
D,0.627426174,-80,pulse direction,first
D,0.637129889,-70,pulse direction,first
D,0.632350127,-60,pulse direction,first
D,0.637634861,-50,pulse direction,first
D,0.639789596,-40,pulse direction,first
D,0.638323415,-30,pulse direction,first
D,0.628799886,-20,pulse direction,first
D,0.62469906,-10,pulse direction,first
D,0.563246997,0,pulse direction,first
D,0.515481497,10,pulse direction,first
D,0.505784261,20,pulse direction,first
D,0.492465502,30,pulse direction,first
D,0.475201025,40,pulse direction,first
D,0.453760868,50,pulse direction,first
D,0.428184188,60,pulse direction,first
D,0.398265823,70,pulse direction,first
D,0.36439109,80,pulse direction,first
D,0.326988872,90,pulse direction,first
D,0.286639896,100,pulse direction,first
D,0.244030333,110,pulse direction,first
D,0.199894094,120,pulse direction,first
D,0.155120904,130,pulse direction,first
D,0.134357021,140,pulse direction,first
D,0.090292903,150,pulse direction,first
D,-0.008502939,160,pulse direction,first
D,-0.057389405,170,pulse direction,first
D,-0.104850965,180,pulse direction,first
D,-0.157685336,190,pulse direction,first
D,-0.194625638,200,pulse direction,first
D,-0.300758324,210,pulse direction,first
D,-0.346600317,220,pulse direction,first
D,-0.383725935,230,pulse direction,first
D,-0.419424068,240,pulse direction,first
D,-0.460015483,250,pulse direction,first
D,-0.480920815,260,pulse direction,first
D,-0.518417522,270,pulse direction,first
D,-0.548433368,280,pulse direction,first
D,-0.588774689,290,pulse direction,first
D,-0.621632721,300,pulse direction,first
D,-0.637359121,310,pulse direction,first
D,-0.666998531,320,pulse direction,first
D,-0.6951537,330,pulse direction,first
D,-0.709769809,340,pulse direction,first
D,-0.734477398,350,pulse direction,first
D,-0.757544833,360,pulse direction,first
D,-0.779030366,370,pulse direction,first
D,-0.798734276,380,pulse direction,first
D,-0.809326703,390,pulse direction,first
D,-0.824245422,400,pulse direction,first
D,-0.837042271,410,pulse direction,first
D,-0.846252316,420,pulse direction,first
D,-0.852216784,430,pulse direction,first
D,-0.855769903,440,pulse direction,first
D,-0.85014611,450,pulse direction,first
D,-0.8455678,460,pulse direction,first
D,-0.837787308,470,pulse direction,first
D,-0.826606376,480,pulse direction,first
D,-0.811866432,490,pulse direction,first
D,-0.793462109,500,pulse direction,first
D,-0.761304741,510,pulse direction,first
D,-0.728579366,520,pulse direction,first
D,-0.69205477,530,pulse direction,first
D,-0.651920435,540,pulse direction,first
D,-0.592287818,550,pulse direction,first
D,-0.54309175,560,pulse direction,first
D,-0.491038727,570,pulse direction,first
D,-0.436625167,580,pulse direction,first
D,-0.380405342,590,pulse direction,first
