,bat_id,pulse_id,distance_to_edge [cm],"flight_id (0:first, 1:last)"
0,D,0,0,1
1,D,0,5,1
2,D,0,62,1
3,D,0,6,1
4,D,1,0,1
5,D,1,7,1
6,D,1,62,1
7,D,2,1,1
8,D,2,1,1
9,D,2,65,1
10,D,2,5,1
11,D,3,0,1
12,D,3,59,1
13,D,3,3,1
14,D,4,2,1
15,D,4,7,1
16,D,4,66,1
17,D,5,1,1
18,D,5,8,1
19,D,5,65,1
20,D,5,38,1
21,D,6,1,1
22,D,6,3,1
23,D,7,4,1
24,D,7,61,1
25,D,8,2,1
26,D,8,1,1
27,D,9,6,1
28,D,9,6,1
29,D,10,4,1
30,D,10,3,1
31,D,10,1,1
32,D,11,6,1
33,D,11,5,1
34,D,11,4,1
35,D,12,4,1
36,D,12,3,1
37,D,12,3,1
38,D,13,8,1
39,D,13,8,1
40,D,13,9,1
41,D,13,61,1
42,D,14,2,1
43,D,14,2,1
44,D,14,2,1
45,D,14,2,1
46,D,14,2,1
47,D,14,63,1
48,D,15,0,1
49,D,15,63,1
50,D,16,0,1
51,D,16,65,1
52,D,17,1,1
53,D,17,2,1
54,D,17,63,1
55,D,18,3,1
56,D,19,1,1
57,D,22,1,1
58,D,23,1,1
59,D,24,2,1
60,D,25,1,1
61,D,26,1,1
62,F,0,1,1
63,F,0,6,1
64,F,0,62,1
65,F,0,4,1
66,F,1,1,1
67,F,1,1,1
68,F,1,61,1
69,F,1,39,1
70,F,2,2,1
71,F,2,6,1
72,F,2,66,1
73,F,2,29,1
74,F,3,1,1
75,F,3,2,1
76,F,3,60,1
77,F,3,21,1
78,F,4,3,1
79,F,4,4,1
80,F,4,63,1
81,F,4,6,1
82,F,5,5,1
83,F,5,57,1
84,F,6,5,1
85,F,6,60,1
86,F,7,1,1
87,F,8,2,1
88,F,8,65,1
89,F,9,0,1
90,F,9,64,1
91,F,9,58,1
92,F,10,3,1
93,F,10,1,1
94,F,10,56,1
95,F,11,3,1
96,F,11,3,1
97,F,11,66,1
98,F,11,40,1
99,F,12,10,1
100,F,12,10,1
101,F,12,64,1
102,F,12,59,1
103,F,13,6,1
104,F,13,4,1
105,F,13,65,1
106,F,13,55,1
107,F,14,7,1
108,F,14,7,1
109,F,14,5,1
110,F,14,60,1
111,F,15,8,1
112,F,15,8,1
113,F,15,6,1
114,F,16,14,1
115,F,16,15,1
116,F,16,16,1
117,F,17,12,1
118,F,17,13,1
119,F,18,9,1
120,F,18,62,1
121,F,19,9,1
122,F,19,8,1
123,F,19,7,1
124,F,20,13,1
125,F,20,14,1
126,F,21,8,1
127,F,21,9,1
128,F,21,8,1
129,F,21,9,1
130,F,21,9,1
131,F,21,56,1
132,F,22,8,1
133,F,22,7,1
134,F,22,9,1
135,F,22,9,1
136,F,23,3,1
137,F,23,3,1
138,F,23,2,1
139,F,23,1,1
140,F,23,64,1
141,F,24,5,1
142,F,24,5,1
143,F,24,6,1
144,F,24,6,1
145,F,24,5,1
146,F,25,1,1
147,F,25,1,1
148,F,26,0,1
149,F,27,0,1
150,F,27,66,1
151,F,28,1,1
152,F,28,1,1
153,F,28,5,1
154,F,29,0,1
155,F,29,2,1
156,F,29,4,1
157,F,30,0,1
158,F,30,0,1
159,F,30,4,1
160,F,31,2,1
161,F,31,3,1
162,F,32,0,1
163,F,32,3,1
164,F,48,1,1
165,G,0,0,1
166,G,0,63,1
167,G,0,7,1
168,G,0,6,1
169,G,1,3,1
170,G,1,62,1
171,G,1,8,1
172,G,1,5,1
173,G,2,1,1
174,G,2,65,1
175,G,2,5,1
176,G,2,59,1
177,G,2,2,1
178,G,3,2,1
179,G,3,62,1
180,G,3,3,1
181,G,3,66,1
182,G,3,5,1
183,G,4,1,1
184,G,4,63,1
185,G,4,8,1
186,G,4,63,1
187,G,4,8,1
188,G,5,0,1
189,G,5,1,1
190,G,5,64,1
191,G,5,3,1
192,G,6,0,1
193,G,6,0,1
194,G,6,62,1
195,G,7,1,1
196,G,7,4,1
197,G,7,63,1
198,G,8,1,1
199,G,8,2,1
200,G,8,62,1
201,G,8,4,1
202,G,9,2,1
203,G,9,65,1
204,G,10,1,1
205,G,11,1,1
206,G,11,58,1
207,G,12,2,1
208,G,12,2,1
209,G,12,63,1
210,G,13,10,1
211,G,13,64,1
212,G,13,60,1
213,G,14,8,1
214,G,14,11,1
215,G,14,66,1
216,G,14,56,1
217,G,15,15,1
218,G,15,59,1
219,G,15,62,1
220,G,16,18,1
221,G,17,19,1
222,G,17,56,1
223,G,18,17,1
224,G,18,17,1
225,G,18,13,1
226,G,18,59,1
227,G,18,64,1
228,G,19,21,1
229,G,19,21,1
230,G,19,64,1
231,G,20,0,1
232,G,20,22,1
233,G,20,22,1
234,G,20,54,1
235,G,20,61,1
236,G,21,23,1
237,G,21,41,1
238,G,21,22,1
239,G,21,22,1
240,G,21,21,1
241,G,22,20,1
242,G,22,20,1
243,G,22,17,1
244,G,23,21,1
245,G,23,65,1
246,G,24,18,1
247,G,24,18,1
248,G,24,14,1
249,G,25,12,1
250,G,25,13,1
251,G,25,8,1
252,G,26,11,1
253,G,26,10,1
254,G,26,10,1
255,G,26,9,1
256,G,26,9,1
257,G,26,63,1
258,G,27,7,1
259,G,27,7,1
260,G,27,6,1
261,G,27,5,1
262,G,27,4,1
263,G,27,57,1
264,G,28,5,1
265,G,28,5,1
266,G,28,5,1
267,G,28,5,1
268,G,28,5,1
269,G,28,61,1
270,G,29,0,1
271,G,29,0,1
272,G,29,0,1
273,G,29,63,1
274,G,30,65,1
275,G,31,4,1
276,G,31,0,1
277,G,32,0,1
278,G,32,1,1
279,G,35,2,1
280,G,36,1,1
281,G,37,0,1
282,G,38,1,1
283,G,39,1,1
284,H,0,1,1
285,H,0,6,1
286,H,0,60,1
287,H,0,2,1
288,H,1,0,1
289,H,1,1,1
290,H,1,59,1
291,H,1,21,1
292,H,2,1,1
293,H,2,2,1
294,H,2,63,1
295,H,3,1,1
296,H,3,5,1
297,H,3,62,1
298,H,3,41,1
299,H,4,1,1
300,H,4,5,1
301,H,4,64,1
302,H,5,2,1
303,H,5,63,1
304,H,6,1,1
305,H,6,65,1
306,H,7,0,1
307,H,7,64,1
308,H,7,63,1
309,H,8,2,1
310,H,8,63,1
311,H,9,1,1
312,H,10,0,1
313,H,10,0,1
314,H,10,64,1
315,H,11,1,1
316,H,11,8,1
317,H,12,1,1
318,H,12,4,1
319,H,12,65,1
320,H,13,5,1
321,H,13,61,1
322,H,14,1,1
323,H,14,64,1
324,H,15,4,1
325,H,15,60,1
326,H,16,8,1
327,H,16,9,1
328,H,16,9,1
329,H,16,63,1
330,H,17,17,1
331,H,17,17,1
332,H,17,61,1
333,H,18,13,1
334,H,22,14,1
335,H,22,15,1
336,H,23,12,1
337,H,23,11,1
338,H,24,6,1
339,H,24,6,1
340,H,24,6,1
341,H,24,6,1
342,H,25,1,1
343,H,25,1,1
344,H,25,1,1
345,H,25,1,1
346,H,25,1,1
347,I,0,0,1
348,I,0,2,1
349,I,0,64,1
350,I,1,2,1
351,I,1,4,1
352,I,1,66,1
353,I,2,2,1
354,I,2,1,1
355,I,2,64,1
356,I,3,1,1
357,I,3,5,1
358,I,3,65,1
359,I,3,7,1
360,I,4,1,1
361,I,4,66,1
362,I,5,1,1
363,I,5,64,1
364,I,6,4,1
365,I,6,4,1
366,I,6,60,1
367,I,6,64,1
368,I,7,7,1
369,I,7,8,1
370,I,7,55,1
371,I,8,7,1
372,I,8,5,1
373,I,8,62,1
374,I,9,10,1
375,I,9,9,1
376,I,10,18,1
377,I,10,18,1
378,I,10,13,1
379,I,10,62,1
380,I,11,0,1
381,I,11,18,1
382,I,11,19,1
383,I,11,63,1
384,I,11,62,1
385,I,12,19,1
386,I,12,19,1
387,I,12,23,1
388,I,13,20,1
389,I,13,20,1
390,I,13,17,1
391,I,13,63,1
392,I,14,19,1
393,I,14,19,1
394,I,14,19,1
395,I,14,17,1
396,I,14,60,1
397,I,15,16,1
398,I,15,15,1
399,I,15,15,1
400,I,15,13,1
401,I,15,13,1
402,I,15,64,1
403,I,16,14,1
404,I,16,14,1
405,I,16,14,1
406,I,16,13,1
407,I,17,9,1
408,I,17,9,1
409,I,17,9,1
410,I,17,8,1
411,I,17,8,1
412,I,18,7,1
413,I,18,7,1
414,I,18,7,1
415,I,18,7,1
416,I,18,6,1
417,I,18,6,1
418,I,18,5,1
419,I,19,2,1
420,I,19,2,1
421,I,19,2,1
422,I,19,2,1
423,I,19,3,1
424,I,19,3,1
425,I,19,2,1
426,I,19,2,1
427,I,19,2,1
428,I,20,1,1
429,I,20,1,1
430,I,20,1,1
431,I,20,0,1
432,I,20,1,1
433,I,20,1,1
434,I,20,1,1
435,I,21,0,1
436,MF,0,1,1
437,MF,0,12,1
438,MF,1,1,1
439,MF,1,18,1
440,MF,1,14,1
441,MF,2,1,1
442,MF,2,23,1
443,MF,3,1,1
444,MF,3,1,1
445,MF,3,60,1
446,MF,4,1,1
447,MF,4,2,1
448,MF,4,2,1
449,MF,4,64,1
450,MF,5,1,1
451,MF,5,0,1
452,MF,5,60,1
453,MF,6,0,1
454,MF,6,2,1
455,MF,7,0,1
456,MF,7,0,1
457,MF,7,64,1
458,MF,8,0,1
459,MF,8,65,1
460,MF,9,2,1
461,MF,9,62,1
462,MF,10,5,1
463,MF,10,5,1
464,MF,10,4,1
465,MF,10,4,1
466,MF,10,5,1
467,MF,10,59,1
468,MF,11,6,1
469,MF,11,6,1
470,MF,11,6,1
471,MF,11,61,1
472,MF,12,6,1
473,MF,13,3,1
474,MF,13,3,1
475,MF,13,3,1
476,MF,13,65,1
477,MF,14,5,1
478,MF,14,4,1
479,MF,14,60,1
480,MF,15,4,1
481,MF,15,3,1
482,MF,15,2,1
483,MF,16,4,1
484,MF,16,3,1
485,MF,16,3,1
486,MF,16,62,1
487,MF,17,3,1
488,MF,17,3,1
489,MF,17,3,1
490,MF,17,63,1
491,MF,18,3,1
492,MF,18,3,1
493,MF,18,2,1
494,MF,18,2,1
495,MF,18,3,1
496,MF,19,5,1
497,MF,19,5,1
498,MF,19,5,1
499,MF,19,5,1
500,MF,19,5,1
501,MF,19,58,1
502,MF,20,2,1
503,MF,20,2,1
504,MF,20,2,1
505,MF,20,1,1
506,MF,20,1,1
507,MF,20,1,1
508,MF,21,0,1
509,MF,21,0,1
510,MF,21,0,1
511,MF,22,0,1
512,MF,23,1,1
513,MF,23,3,1
514,MF,23,65,1
515,MF,24,3,1
516,MF,25,2,1
517,MF,25,62,1
518,MF,26,1,1
519,MF,26,65,1
520,MF,27,8,1
521,MF,27,9,1
522,MF,27,62,1
523,MF,28,7,1
524,MF,28,7,1
525,MF,28,63,1
526,MF,29,14,1
527,MF,29,14,1
528,MF,29,63,1
529,MF,37,22,1
530,MF,37,22,1
531,MF,37,20,1
532,MF,38,22,1
533,MF,38,22,1
534,MF,38,20,1
535,MF,38,20,1
536,MF,39,16,1
537,MF,39,16,1
538,MF,40,13,1
539,MF,40,13,1
540,MF,41,5,1
541,MF,41,4,1
542,MF,41,5,1
543,MF,41,5,1
544,MF,41,5,1
545,MF,42,1,1
546,MF,43,2,1
547,MF,43,4,1
548,MF,46,0,1
549,MH,0,1,1
550,MH,0,1,1
551,MH,0,64,1
552,MH,0,9,1
553,MH,1,1,1
554,MH,1,1,1
555,MH,1,59,1
556,MH,2,0,1
557,MH,2,3,1
558,MH,2,60,1
559,MH,3,1,1
560,MH,3,2,1
561,MH,3,62,1
562,MH,3,10,1
563,MH,4,0,1
564,MH,4,1,1
565,MH,4,62,1
566,MH,4,5,1
567,MH,5,0,1
568,MH,5,64,1
569,MH,5,7,1
570,MH,6,2,1
571,MH,6,5,1
572,MH,6,61,1
573,MH,7,1,1
574,MH,7,6,1
575,MH,7,58,1
576,MH,8,1,1
577,MH,8,3,1
578,MH,8,62,1
579,MH,9,0,1
580,MH,9,65,1
581,MH,10,0,1
582,MH,10,64,1
583,MH,10,64,1
584,MH,11,2,1
585,MH,11,61,1
586,MH,12,1,1
587,MH,12,63,1
588,MH,13,0,1
589,MH,13,63,1
590,MH,14,1,1
591,MH,14,2,1
592,MH,15,1,1
593,MH,15,0,1
594,MH,15,66,1
595,MH,16,0,1
596,MH,16,8,1
597,MH,16,54,1
598,MH,17,2,1
599,MH,18,2,1
600,MH,19,0,1
601,MH,19,57,1
602,MH,20,10,1
603,MH,20,11,1
604,MH,20,63,1
605,MH,21,9,1
606,MH,21,9,1
607,MH,21,66,1
608,MH,22,0,1
609,MH,22,8,1
610,MH,22,8,1
611,MH,24,0,1
612,MH,25,0,1
613,MH,26,0,1
