,bat_id,pulse_id,distance_to_edge [cm],"flight_id (0:first, 1:last)"
0,D,0,0,0
1,D,0,6,0
2,D,0,64,0
3,D,0,2,0
4,D,1,0,0
5,D,1,1,0
6,D,1,62,0
7,D,2,2,0
8,D,2,1,0
9,D,2,63,0
10,D,2,8,0
11,D,3,1,0
12,D,3,10,0
13,D,3,9,0
14,D,4,0,0
15,D,4,5,0
16,D,5,2,0
17,D,5,2,0
18,D,5,65,0
19,D,5,8,0
20,D,6,0,0
21,D,6,64,0
22,D,6,7,0
23,D,7,0,0
24,D,7,2,0
25,D,7,62,0
26,D,7,5,0
27,D,8,2,0
28,D,8,1,0
29,D,9,1,0
30,D,9,2,0
31,D,9,3,0
32,D,10,3,0
33,D,11,2,0
34,D,11,65,0
35,D,11,62,0
36,D,12,0,0
37,D,13,2,0
38,D,13,64,0
39,D,14,0,0
40,D,14,10,0
41,D,14,10,0
42,D,14,10,0
43,D,14,64,0
44,D,15,9,0
45,D,16,6,0
46,D,16,7,0
47,D,16,62,0
48,D,17,4,0
49,D,17,4,0
50,D,17,4,0
51,D,17,63,0
52,D,18,1,0
53,D,18,66,0
54,D,19,0,0
55,D,19,62,0
56,D,20,1,0
57,D,20,65,0
58,D,21,64,0
59,D,22,3,0
60,D,22,64,0
61,D,23,0,0
62,D,23,63,0
63,D,24,1,0
64,D,24,62,0
65,D,25,10,0
66,D,25,10,0
67,D,25,58,0
68,D,26,8,0
69,D,27,0,0
70,D,27,17,0
71,D,27,18,0
72,D,27,61,0
73,D,31,23,0
74,D,32,20,0
75,D,33,19,0
76,D,33,15,0
77,D,34,18,0
78,D,34,18,0
79,D,35,13,0
80,D,35,13,0
81,D,36,12,0
82,D,37,3,0
83,D,38,12,0
84,D,39,1,0
85,D,40,2,0
86,D,40,1,0
87,F,0,1,0
88,F,0,0,0
89,F,0,65,0
90,F,0,4,0
91,F,1,1,0
92,F,1,7,0
93,F,1,65,0
94,F,1,2,0
95,F,2,1,0
96,F,2,4,0
97,F,2,59,0
98,F,2,13,0
99,F,3,0,0
100,F,3,4,0
101,F,3,24,0
102,F,4,0,0
103,F,4,7,0
104,F,4,59,0
105,F,4,20,0
106,F,5,1,0
107,F,5,3,0
108,F,5,60,0
109,F,5,20,0
110,F,6,1,0
111,F,6,8,0
112,F,6,64,0
113,F,6,7,0
114,F,7,1,0
115,F,7,1,0
116,F,7,66,0
117,F,7,9,0
118,F,8,1,0
119,F,8,8,0
120,F,8,11,0
121,F,9,0,0
122,F,9,65,0
123,F,9,7,0
124,F,10,1,0
125,F,10,0,0
126,F,11,1,0
127,F,11,2,0
128,F,11,65,0
129,F,11,7,0
130,F,12,3,0
131,F,12,66,0
132,F,12,18,0
133,F,13,3,0
134,F,13,63,0
135,F,14,1,0
136,F,14,62,0
137,F,14,61,0
138,F,15,1,0
