bat_id	pulse_id	distance_to_edge [cm]	flight_id (0:first, 1:last)
D	0	0	0
D	0	6	0
D	0	64	0
D	0	2	0
D	1	0	0
D	1	1	0
D	1	62	0
D	2	2	0
D	2	1	0
D	2	63	0
D	2	8	0
D	3	1	0
D	3	10	0
D	3	9	0
D	4	0	0
D	4	5	0
D	5	2	0
D	5	2	0
D	5	65	0
D	5	8	0
D	6	0	0
D	6	64	0
D	6	7	0
D	7	0	0
D	7	2	0
D	7	62	0
D	7	5	0
D	8	2	0
D	8	1	0
D	9	1	0
D	9	2	0
D	9	3	0
D	10	3	0
D	11	2	0
D	11	65	0
D	11	62	0
D	12	0	0
D	13	2	0
D	13	64	0
D	14	0	0
D	14	10	0
D	14	10	0
D	14	10	0
D	14	64	0
D	15	9	0
D	16	6	0
D	16	7	0
D	16	62	0
D	17	4	0
D	17	4	0
D	17	4	0
D	17	63	0
D	18	1	0
D	18	66	0
D	19	0	0
D	19	62	0
D	20	1	0
D	20	65	0
D	21	64	0
D	22	3	0
D	22	64	0
D	23	0	0
D	23	63	0
D	24	1	0
D	24	62	0
D	25	10	0
D	25	10	0
D	25	58	0
D	26	8	0
D	27	0	0
D	27	17	0
D	27	18	0
D	27	61	0
D	31	23	0
D	32	20	0
D	33	19	0
D	33	15	0
D	34	18	0
D	34	18	0
D	35	13	0
D	35	13	0
D	36	12	0
D	37	3	0
D	38	12	0
D	39	1	0
D	40	2	0
D	40	1	0
F	0	1	0
F	0	0	0
F	0	65	0
F	0	4	0
F	1	1	0
F	1	7	0
F	1	65	0
F	1	2	0
F	2	1	0
F	2	4	0
F	2	59	0
F	2	13	0
F	3	0	0
F	3	4	0
F	3	24	0
F	4	0	0
F	4	7	0
F	4	59	0
F	4	20	0
F	5	1	0
F	5	3	0
F	5	60	0
F	5	20	0
F	6	1	0
F	6	8	0
F	6	64	0
F	6	7	0
F	7	1	0
F	7	1	0
F	7	66	0
F	7	9	0
F	8	1	0
F	8	8	0
F	8	11	0
F	9	0	0
F	9	65	0
F	9	7	0
F	10	1	0
F	10	0	0
F	11	1	0
F	11	2	0
F	11	65	0
F	11	7	0
F	12	3	0
F	12	66	0
F	12	18	0
F	13	3	0
F	13	63	0
F	14	1	0
F	14	62	0
F	14	61	0
F	15	1	0
F	16	1	0
F	16	1	0
F	16	59	0
F	17	4	0
F	17	4	0
F	17	4	0
F	17	61	0
F	18	5	0
F	18	5	0
F	18	5	0
F	18	5	0
F	18	60	0
F	19	0	0
F	19	8	0
F	19	9	0
F	19	8	0
F	19	56	0
F	19	62	0
F	20	0	0
F	20	13	0
F	20	14	0
F	20	14	0
F	20	14	0
F	20	62	0
F	21	0	0
F	21	10	0
F	21	10	0
F	21	8	0
F	21	64	0
F	22	15	0
F	22	16	0
F	22	15	0
F	23	16	0
F	23	16	0
F	23	11	0
F	24	18	0
F	24	17	0
F	24	15	0
F	25	21	0
F	25	62	0
F	26	21	0
F	26	62	0
F	27	19	0
F	28	21	0
F	28	20	0
